#%result_name=Analysis_6
#%array_type=HuGene-2_1-st
#%annotation=HuGene-2_1-st-v1.na36.hg19.transcript.csv
#%comparison=POST vs PRE
ID	POST Avg (log2)	PRE Avg (log2)	Fold Change	P-val	FDR P-val	Gene Symbol	Description
16736628	8.55	9.76	-2.33	1.19E-09	5.76E-05	CSRP3	cysteine and glycine-rich protein 3 (cardiac LIM protein)
16982921	2.97	5.17	-4.59	5.37E-09	0.0001	LOC105374634	uncharacterized LOC105374634
16951191	3.59	4.87	-2.43	1.61E-08	0.0003	COLQ	collagen-like tail subunit (single strand of homotrimer) of asymmetric acetylcholinesterase
16857068	5.33	7.76	-5.38	2.35E-08	0.0003	NMRK2	nicotinamide riboside kinase 2
16939718	5.7	6.86	-2.23	4.55E-08	0.0004	KLHL40	kelch-like family member 40
16844294	8.04	8.89	-1.81	4.88E-08	0.0004	NR1D1	nuclear receptor subfamily 1, group D, member 1
16909775	2.4	3.53	-2.19	5.82E-08	0.0004		
16909760	3.87	4.74	-1.83	8.55E-08	0.0005	ASB18	ankyrin repeat and SOCS box containing 18
16987076	3.83	4.85	-2.02	1.17E-07	0.0006		
16883074	5.6	6.8	-2.31	1.54E-07	0.0007	CNNM4	cyclin and CBS domain divalent metal cation transport mediator 4
16823255	6.01	6.71	-1.62	1.80E-07	0.0007	HCFC1R1	host cell factor C1 regulator 1 (XPO1 dependent)
16679064	10.29	10.9	-1.53	1.80E-07	0.0007	ACTN2	actinin, alpha 2
17103951	5.35	4.38	1.96	2.32E-07	0.0009	TSPYL2	TSPY-like 2
16954730	6.75	7.58	-1.78	3.16E-07	0.0011	TWF2	twinfilin actin binding protein 2
16752542	2.95	4.16	-2.31	3.28E-07	0.0011	MYL6B	myosin light chain 6B
16757051	4.75	6.96	-4.61	3.89E-07	0.0012	LINC01405	long intergenic non-protein coding RNA 1405
16812685	6.39	7.07	-1.61	4.17E-07	0.0012	HOMER2	homer scaffolding protein 2
16947729	3.9	4.64	-1.66	1.02E-06	0.0027		
16803469	5.46	6.31	-1.8	1.51E-06	0.0038	DNAJA4	DnaJ (Hsp40) homolog, subfamily A, member 4
17088230	3.49	4.17	-1.61	2.05E-06	0.0045	RGS3	regulator of G-protein signaling 3
16945821	3.09	3.94	-1.81	2.07E-06	0.0045	TMEM108	transmembrane protein 108
16795390	2.48	3.68	-2.3	2.45E-06	0.0050	LOC100506700	uncharacterized LOC100506700
16728785	3.68	4.86	-2.26	2.47E-06	0.0050	LOC105369382	uncharacterized LOC105369382
17062955	5.87	5.23	1.56	2.59E-06	0.0050	LINC-PINT	long intergenic non-protein coding RNA, p53 induced transcript
16846543	4.28	5.32	-2.05	2.82E-06	0.0052		
16765963	5.69	6.29	-1.52	3.43E-06	0.0061	ANKRD52	ankyrin repeat domain 52
16850609	8.03	9.17	-2.2	3.62E-06	0.0062	MYL12A	myosin light chain 12A
16683493	6.62	7.29	-1.6	3.76E-06	0.0063	MYOM3	myomesin 3
16970132	7.4	8.82	-2.67	3.94E-06	0.0063	MYOZ2	myozenin 2
16691333	7.72	9.02	-2.48	4.19E-06	0.0065	CASQ2	calsequestrin 2 (cardiac muscle)
16817320	4.79	5.52	-1.66	5.62E-06	0.0080	SBK1	SH3 domain binding kinase 1
16848318	8.21	7.51	1.63	6.27E-06	0.0086	ABCA5	ATP binding cassette subfamily A member 5
16905528	3.85	3.03	1.77	6.54E-06	0.0088	PDE11A	phosphodiesterase 11A
16759920	1.45	2.09	-1.56	7.52E-06	0.0095		
16869299	4.74	5.57	-1.78	8.22E-06	0.0099	HOOK2	hook microtubule-tethering protein 2
16877795	4.35	5.05	-1.62	8.22E-06	0.0099	EFR3B	EFR3 homolog B
16660745	2.78	3.49	-1.63	9.92E-06	0.0116		
17121832	4.01	3.39	1.54	1.01E-05	0.0116		
16913014	4.5	5.77	-2.41	1.16E-05	0.0127	MYH7B	myosin, heavy chain 7B, cardiac muscle, beta
17058878	4.93	5.64	-1.64	1.16E-05	0.0127	TMEM120A	transmembrane protein 120A
16809645	4.6	3.94	1.59	1.23E-05	0.0132	MIR628	microRNA 628
16919072	4.18	4.8	-1.54	1.32E-05	0.0139	MROH8	maestro heat-like repeat family member 8
16900124	2.87	2.1	1.7	1.64E-05	0.0152	IGKV1-12; IGKV1D-12	immunoglobulin kappa variable 1-12; immunoglobulin kappa variable 1D-12
16702254	5.36	6.18	-1.77	1.73E-05	0.0155	LOC102723721	uncharacterized LOC102723721
16937152	5.22	6.26	-2.05	1.90E-05	0.0165	LINC00312; LMCD1	long intergenic non-protein coding RNA 312; LIM and cysteine-rich domains 1
16912965	5.7	6.45	-1.69	2.48E-05	0.0196	TP53INP2	tumor protein p53 inducible nuclear protein 2
16888349	2.83	3.92	-2.12	2.56E-05	0.0199	PPP1R1C	protein phosphatase 1, regulatory (inhibitor) subunit 1C
16891662	6.64	5.77	1.82	2.77E-05	0.0212	COL4A3	collagen, type IV, alpha 3 (Goodpasture antigen)
16682077	8.54	9.17	-1.54	3.00E-05	0.0226	HSPB7	heat shock 27kDa protein family, member 7 (cardiovascular)
16886677	7.9	7.25	1.57	3.39E-05	0.0243	GPD2	glycerol-3-phosphate dehydrogenase 2
16861997	6.77	5.83	1.91	3.44E-05	0.0243	ZFP36	ZFP36 ring finger protein
17012036	7.58	8.22	-1.55	3.58E-05	0.0243	VGLL2	vestigial-like family member 2
17069716	3.47	2.65	1.77	3.58E-05	0.0243		
16812168	3.05	3.73	-1.61	3.73E-05	0.0250		
16896019	2.37	3.24	-1.82	4.14E-05	0.0270	LOC100505774	uncharacterized LOC100505774
17125182	2.29	2.97	-1.61	4.30E-05	0.0273		
16846687	5.97	4.81	2.23	4.74E-05	0.0293	CHAD	chondroadherin
16943577	1.81	1.02	1.74	5.35E-05	0.0321		
16820398	6.45	5.52	1.91	5.38E-05	0.0321	SLC7A6	solute carrier family 7 (amino acid transporter light chain, y+L system), member 6
17109758	8.44	9.23	-1.72	6.72E-05	0.0371	SMPX	small muscle protein, X-linked
17093227	2.75	3.52	-1.7	7.73E-05	0.0396	AQP7	aquaporin 7
16778584	2.83	2.01	1.77	7.89E-05	0.0396	ENOX1	ecto-NOX disulfide-thiol exchanger 1
17020532	5.39	6.01	-1.54	8.00E-05	0.0398		
16678095	1.66	2.63	-1.95	8.67E-05	0.0427	LOC102723834	uncharacterized LOC102723834
16723058	3.44	2.83	1.53	0.0001	0.0538	FIBIN	fin bud initiation factor homolog (zebrafish)
16770165	10.73	11.38	-1.58	0.0001	0.0549	MYL2	myosin light chain 2
16938630	7.85	8.48	-1.55	0.0001	0.0555	GPD1L	glycerol-3-phosphate dehydrogenase 1-like
16949537	6.38	5.38	2	0.0001	0.0555	TP63	tumor protein p63
16859942	4.78	5.5	-1.64	0.0001	0.0572	SLC25A42	solute carrier family 25, member 42
16661031	2.17	2.87	-1.63	0.0001	0.0578	EXTL1	exostosin-like glycosyltransferase 1
16954641	6.12	6.72	-1.51	0.0001	0.0578	PCBP4	poly(rC) binding protein 4
16867334	3.79	4.55	-1.69	0.0002	0.0619	PLIN5	perilipin 5
16938154	6	6.71	-1.64	0.0002	0.0626	OXNAD1	oxidoreductase NAD-binding domain containing 1
17125112	4.73	5.44	-1.63	0.0002	0.0638		
17011708	7.83	7.17	1.59	0.0002	0.0638	SLC16A10	solute carrier family 16 (aromatic amino acid transporter), member 10
16929562	4.44	3.56	1.84	0.0002	0.0638	HMOX1	heme oxygenase 1
16737260	5.25	5.91	-1.58	0.0002	0.0638	ABTB2	ankyrin repeat and BTB (POZ) domain containing 2
16914277	0.95	1.57	-1.54	0.0002	0.0646		
17012392	5.75	6.49	-1.68	0.0002	0.0646	RSPO3	R-spondin 3
17109754	4.2	5.11	-1.88	0.0002	0.0646	KLHL34	kelch-like family member 34
16947734	3.19	3.87	-1.61	0.0002	0.0678		
17094240	3.81	4.7	-1.86	0.0002	0.0715	LOC101928195	monofunctional C1-tetrahydrofolate synthase, mitochondrial-like
16687875	6.31	5.72	1.51	0.0002	0.0715	JUN	jun proto-oncogene
16996820	7.17	6.46	1.64	0.0002	0.0715	LOC101928819	uncharacterized LOC101928819
16871467	8.76	9.55	-1.72	0.0002	0.0716	HSPB6	heat shock protein, alpha-crystallin-related, B6
16823290	4.48	5.14	-1.58	0.0003	0.0735	ZNF205-AS1	ZNF205 antisense RNA 1
16775583	1.31	1.95	-1.56	0.0003	0.0735		
16940161	1.52	2.81	-2.45	0.0003	0.0735	CCR3	chemokine (C-C motif) receptor 3
16987073	4.63	5.29	-1.57	0.0003	0.0735		
16952990	3.79	4.38	-1.51	0.0003	0.0761	PRSS45; PRSS43; PRSS50	protease, serine 45; protease, serine, 43; protease, serine 50
16917849	3.19	3.78	-1.5	0.0003	0.0761	THBD	thrombomodulin
17093463	6.65	5.99	1.58	0.0003	0.0761	CNTFR	ciliary neurotrophic factor receptor
16829688	3.94	4.62	-1.61	0.0003	0.0777	LOC105371592	atherin-like
16963241	5.92	6.65	-1.65	0.0003	0.0813	TFRC	transferrin receptor
16997141	1.37	2.04	-1.59	0.0003	0.0813		
16834395	4.5	5.1	-1.52	0.0003	0.0822	TUBG2	tubulin, gamma 2
16938645	2.9	3.73	-1.77	0.0003	0.0826		
16707631	4.93	4.35	1.5	0.0003	0.0826	PLCE1	phospholipase C, epsilon 1
16707882	1.64	0.91	1.66	0.0003	0.0829		
17120468	1.3	0.69	1.52	0.0003	0.0829		
16697909	7.06	7.72	-1.58	0.0004	0.0849	TNNI1	troponin I type 1 (skeletal, slow)
16685777	3.12	2.35	1.71	0.0004	0.0850		
16777224	6.1	6.95	-1.81	0.0004	0.0881	XPO4	exportin 4
16914901	2.34	1.63	1.64	0.0004	0.0882		
16949562	2.21	1.42	1.74	0.0004	0.0901	MIR944	microRNA 944
16758130	5.18	5.89	-1.64	0.0004	0.0907	ORAI1	ORAI calcium release-activated calcium modulator 1
16920036	1.14	1.87	-1.66	0.0004	0.0910		
16984182	3.58	2.55	2.05	0.0004	0.0910	LOC105374731	uncharacterized LOC105374731
16792998	3.31	2.73	1.5	0.0004	0.0910	TXNDC16	thioredoxin domain containing 16
17004455	1.43	2.06	-1.54	0.0004	0.0910		
16989863	4.57	3.89	1.6	0.0004	0.0913	SNORA74A	small nucleolar RNA, H/ACA box 74A
16664978	2.8	4.02	-2.33	0.0004	0.0922	ACOT11	acyl-CoA thioesterase 11
16705961	6.16	5.2	1.94	0.0005	0.0937	DDIT4	DNA damage inducible transcript 4
16698556	6.76	7.37	-1.52	0.0005	0.0956	SLC41A1	solute carrier family 41 (magnesium transporter), member 1
17061296	2.48	1.71	1.7	0.0006	0.1052		
16839796	2.38	3.2	-1.76	0.0006	0.1056		
16757110	2.17	2.76	-1.51	0.0006	0.1056	LOC102723619	uncharacterized LOC102723619
17088995	1.46	2.28	-1.77	0.0007	0.1104	MIR181A2	microRNA 181a-2
17125288	3.75	4.62	-1.83	0.0007	0.1107		
16682771	3.24	2.43	1.75	0.0007	0.1133	PLA2G2A	phospholipase A2, group IIA (platelets, synovial fluid)
16812933	2.06	2.69	-1.54	0.0007	0.1141	LOC102724465	uncharacterized LOC102724465
16752624	7.64	8.4	-1.7	0.0007	0.1141	COQ10A	coenzyme Q10A
16867784	7.36	6.6	1.69	0.0007	0.1149	C3	complement component 3
16978873	1.36	2	-1.55	0.0008	0.1166	ETNPPL	ethanolamine-phosphate phospho-lyase
17015972	3.26	3.85	-1.51	0.0008	0.1166	NHLRC1	NHL repeat containing E3 ubiquitin protein ligase 1
16928967	2.23	2.85	-1.54	0.0008	0.1197	MTFP1	mitochondrial fission process 1
16677391	4.52	5.22	-1.62	0.0009	0.1251	PROX1	prospero homeobox 1
16949988	2.26	3.4	-2.2	0.0009	0.1270		
16967631	4.14	4.75	-1.52	0.0009	0.1274	SLC4A4	solute carrier family 4 (sodium bicarbonate cotransporter), member 4
16724849	6.66	7.48	-1.76	0.0009	0.1274	SMTNL1	smoothelin-like 1
16953021	5.94	6.72	-1.73	0.0010	0.1285		
16696531	5.03	4.43	1.52	0.0010	0.1285		
16987087	3.93	4.54	-1.52	0.0010	0.1285	MEF2C-AS1	MEF2C antisense RNA 1
17117416	2.92	3.65	-1.66	0.0010	0.1289		
