#%result_name=Analysis_6
#%array_type=HuGene-2_1-st
#%annotation=HuGene-2_1-st-v1.na36.hg19.transcript.csv
#%comparison=POST vs PRE
ID	GSM2813727_ER01_S1_NBR_1_B05.rma-gene-full.chp Signal	GSM2813728_ER02_S1_NBR_2_A07.rma-gene-full.chp Signal	GSM2813729_ER03_S2_NBR_1_C07.rma-gene-full.chp Signal	GSM2813730_ER04_S2_NBR_2_E05.rma-gene-full.chp Signal	GSM2813731_ER05_S3_NBR_1_H07.rma-gene-full.chp Signal	GSM2813732_ER06_S3_NBR_2_B09.rma-gene-full.chp Signal	GSM2813733_ER07_S4_NBR_1_G05.rma-gene-full.chp Signal	GSM2813734_ER08_S4_NBR_2_H09.rma-gene-full.chp Signal	GSM2813735_ER09_S5_NBR_1_D05.rma-gene-full.chp Signal	GSM2813736_ER10_S5_NBR_2_D09.rma-gene-full.chp Signal	GSM2813737_ER11_S6_NBR_1_F07.rma-gene-full.chp Signal	GSM2813738_ER12_S6_NBR_2_A09.rma-gene-full.chp Signal	GSM2813739_ER13_S7NBR_1_C05.rma-gene-full.chp Signal	GSM2813740_ER14_S7NBR_2_F05.rma-gene-full.chp Signal	GSM2813741_ER15_S9_NBR_1_B07.rma-gene-full.chp Signal	GSM2813742_ER16_S9_NBR_2_G09.rma-gene-full.chp Signal	GSM2813743_ER17_S11_NBR_1_D07.rma-gene-full.chp Signal	GSM2813744_ER18_S11_NBR_2_C09.rma-gene-full.chp Signal	GSM2813745_ER19_S12_NBR_1_G07.rma-gene-full.chp Signal	GSM2813746_ER20_S12_NBR_2_A05.rma-gene-full.chp Signal	GSM2813747_ER21_S13_NBR_1_E07.rma-gene-full.chp Signal	GSM2813748_ER22_S13_NBR_2_E09.rma-gene-full.chp Signal	GSM2813749_ER23_S14_NBR_1_F09.rma-gene-full.chp Signal	GSM2813750_ER24_S14_NBR_2_H05.rma-gene-full.chp Signal
16736628	9.47	8.37	10.33	9.12	9.91	9.04	9.96	8.58	9.41	8.27	9.68	8.89	9.51	8.23	9.8	8.85	9.76	8.59	10.84	8.5	9.77	8.18	9.96	8.03
16982921	5.53	3.59	5.8	2.88	4.67	2.98	4.8	3.9	5.78	3.63	4.44	3.6	5.24	2.23	4.77	2.14	4.92	2.75	6.07	3.27	3.58	2.01	6.08	2.63
16951191	4.73	3.56	5.23	3.61	4.57	3.58	4.69	3.78	4.87	3.58	4.15	3.42	4	2.78	4.93	3.07	5.06	3.77	6.03	4.01	4.88	3.82	5.04	3.05
16857068	8.69	5.1	6.21	5.22	7.32	4.96	7.84	5.85	6.31	5.33	6.67	6.27	8.64	5.3	8.86	5.75	8.69	5.37	8.8	5.05	7.83	5.96	6.7	5.21
16939718	6.49	5.13	7.4	5.47	6.73	5.34	6.5	5.79	6.42	5.75	7.04	6	6.8	5.84	6.85	5.73	6.95	5.69	8.77	4.74	7.42	5.56	6.93	5.81
16844294	9.13	7.74	8.73	7.75	8.71	7.73	9.27	8.27	8.98	8.46	8.78	8.17	8.63	8.35	9.1	7.91	9.06	8	9.43	8.47	8.54	7.75	8.56	8.02
16909775	3.55	2.11	4.13	2.26	3.22	2.49	3.92	2.14	2.99	2.59	2.67	2.51	3.35	2.25	3.34	2.49	4.13	2.33	4.37	2.89	3.81	1.69	3.22	2.6
16909760	4.96	4.1	5.23	3.83	4.69	3.24	4.55	3.82	4.46	4.43	4.71	3.96	4.45	3.77	4.76	3.95	5	3.9	4.92	4.48	4.56	3.34	4.8	3.66
16987076	4.65	4.17	5.24	3.72	5	3.01	5	3.93	4.97	3.97	4.54	3.82	4.06	3.77	5.02	3.66	4.88	3.62	4.59	2.94	4.37	3.85	4.86	4.37
16883074	6.62	5.42	6.94	5.13	6.39	5.18	6.83	6.11	7.09	6.33	6.13	5.49	6.02	6.09	6.77	5.92	6.83	5.43	6.98	4.94	6.74	5.94	6.82	5.51
