,GeneSymbol,NMRK2,MYH7B,MAP3K20,MYL12A,RAB3A,SYNGR2,PPARGC1A,MYL2,PEX5L,PRG4,UAP1,CA14,CASQ2,CDH15,MYH8,MYH11,COQ10A,CHRND,CHAD,PLCE1,CHRNA1,FGF7,C9orf72,PPP1R1C,KLHL40,CNNM4,ACOT11,ATF3,IGFN1,HCN1,ANKRD2,AQP4,MYOZ2,MAB21L3,SAA1,CCR3,KLHL34,COL4A1,FZD9,MYL6B,CHRNG,DCTN1,COLQ,SMCO1,NTF4,MTND4P24,RPL10P9,MTND6P4,AC093809.1,CHCHD10
1,SRR13388756,2.086499,5.2678214,52.468758,364.57198,0,0.4624616,187.675772,329.797826,0.488013,1.260664,6.564729,2.19469,29.6249,0.1900696,0.715557,1.8989282,81.704706,0.7565769,0,3.06988,3.815285,0.326911,4.366355,5.883676,1.4293,0,4.406346,1.567396,1.66597,10.483169,1.83675,5.056921,101.308,57.7545,0,0.705702,1.14592,0,0,23.503851,0,1.4490982205975,2.2162732,1.43624,0.126881,5.091,0.795927,5.6764,3.13866,10.688
2,SRR13388749,8.02282,6.644094,254.7648279459,1611.86888,0,2.445677,151.4159,1915.41115,1.341166,0.8806666,21.267103,2.42595,116.69941,0.1511913,0.943134,4.1680596,119.303910958,0,0,3.364922,7.149412,0.281944,12.3107762,8.894591,3.06819,2.6304933639,7.407061,3.487729,2.03854,3.9367998,8.57982821,12.005264,157.6,41.6503,0,2.420767,2.16647,0.667603,0,146.792691,0.103363,5.117875,6.109783,9.89897,0,0.304579,0.157661,1.45954,1.33555,5.11111
3,SRR13388782,37.7163,10.036354,203.806986,1745.49645,2.451304,8.11689180852469,118.085574,880.327,2.880532,19.76717413375,47.75206,2.871558,67.654,0.5838992,4.25979,6.5840048,212.98273,2.152508,0,4.62587410222688,9.477347,1.636844,6.559235,8.324476,10.0155,0,9.014622,2.975228,14.6916,6.656873,17.91009,11.6988,64.2074,97.2413,0,1.794581,1.74286,0.250775,0,146.031818,0,8.5728175105986,1.689971,0.719622,1.942454,5.93183,168.645,7.77344,1.07441,87.346539
4,SRR13388773,0.6451919,1.7761467,85.8737758,836.951535,0,0.2403793,175.3938063279,722.1077,0.4122527,0.76324042,6.305856,0.3273731,53.50135,0,0.112166,1.9002978,75.908931,0.0546462,0,0.926072,1.517216,0.154709,6.681573,5.382146,0.62227,0,1.593865,0.3664103,4.05778,3.0538776,1.292965,1.005178,91.1022,33.8693,0,2.605495,0.596701,0.164233,0,55.08904,0,0.7220615563,0.7747039,2.44926,0.474496,168.609,25.0988,4.82594,1.26405,3.36195
5,SRR13388740,4.28241,7.229212,91.39729,1251.80899,1.01426,1.269631,153.198811,741.444,9.828209,3.466090741,19.035996,5.400281,38.31346,0.93248,4.66593,8.576218,142.368676,1.80858,0,6.4579964,12.6672,5.691701,9.599997,15.489792,3.97831,0,14.7748078,1.6585616,1.56154,2.064884,3.76112,19.304961,81.093,144.239,0,4.676967,0.829554,0.97608,0,168.81707,0,8.288508,3.6469138,1.63674,0.658156,82.7657,81.0566,1.95684,5.40296,28.3143
6,SRR13388757,0.857042,11.407627,106.828843,904.367639,0,0.9637656,147.020515516713,1365.30119,0.918147,0.479262,35.212283,1.29679,42.1663,0.160473,0.293627,6.8007621,78.063802,0,0,1.258914,6.3965487,0.580074,4.437332,4.39221,2.15818,0.137134,2.4971874,0.0853806,2.26789,0.1290783,16.49794,2.178498,208.686,96.1947,0,0.5970001,1.48118,0,0,20.747062,0,0.8680542877,0.788252,1.67848,0.479858,5.5211,0,7.02083,1.36964,11.9581846
7,SRR13388734,1.2594,5.5466293545,192.680776,794.68551,0.0449786,1.256378,109.557267,696.1367,1.08113,0.936667,10.418932,1.70341,55.6413,0,2.59279,3.02110000090638,140.1882,1.160122,0,2.146537,2.97067,0,7.9289441,8.330548,2.11708,1.94165,5.68764,0.197926,0.0692488,5.27999,8.899786,59.22774,54.6938,71.3263,0,1.39032,0.0431856,0,0,29.483265,0,7.1545042279418,11.74531,15.4719,0,151.407,0.140262,4.20916,7.42765,18.1407
8,SRR13388758,2.678904,1.4778117,162.070004,831.71075,0,0.54301160158051,166.60763318035,353.3214,0.598006,0.1608367,14.101596,1.061241,29.19171,0,4.00996,0.8154201,117.164248,0.0000000068274,0,1.831694,4.6986834,0.308124,9.364647184511,5.0798153,0.520816,0,2.559776,0.2076164,4.40461,7.847324,0.624735,14.491658,54.9288,42.9269,0,2.887798,0.428685,1.23093,0,34.813503,0,1.520117,0.1492189,5.97772,0.244552,215.481,71.7172,5.85063,2.1716,4.62059
9,SRR13388770,20.03762,25.490983,269.69042,1768.53943,0.2449102478,15.945413,153.321443,2406.05207,0.923176,0.502143,40.244915,1.642253,47.361233,1.200125,3.61106,1.31709800068734,241.33111,0.7807913,0,2.862851,7.06000901,0.2174693,19.4762,8.708,9.44072,3.483005,10.485874,0.2757213,20.6543666,6.137994,19.2821,20.21155,138.797,33.0559,0,2.516682,4.37056,0.861387,0,182.014457,0,12.2066100225591,5.92036,14.1657,3.66941,72.4082,144.361,2.98528,2.92283,64.710197
10,SRR13388744,3.593082,14.899614,140.791431,1057.27111,0.2709762,3.224785,228.98193,1168.868361,0.8412802,1.3027913,13.092136,2.3459278,75.78752,0.573046,2.3555,8.7638348,145.52937,0.663692,0,3.057417,6.7596911,0.766796,14.582582,9.8890995,4.69782,0,8.278967,0.254486,1.04203,1.418363,6.71397,23.391623,282.278,75.0446,0,1.49166,1.56521,0.26349,0,111.217449,0,4.4239938833,0.120629,7.36343,2.65442,2.7488,0,10.9648,0.797516,25.4064
