,GeneSymbol,NMRK2,MYH7B,MAP3K20,MYL12A,RAB3A,SYNGR2,PPARGC1A,MYL2,PEX5L,PRG4,UAP1,CA14,CASQ2,CSRP3,CDH15,MYH8,MYH11,COQ10A,CHRND,CHAD,PLCE1,CHRNA1,FGF7,SFRP2,C9orf72,PPP1R1C,KLHL40,CNNM4,ACOT11,ATF3,IGFN1,HCN1,ANKRD2,AQP4,MYOZ2,MAB21L3,SAA1,CCR3,KLHL34,COL4A1,FZD9,MYL6B,CHRNG,DCTN1,COLQ,SMCO1,NTF4,CHCHD10
1,S1,8192,10217.99,79851.97,83498.89,521,7350.24,8321.67,308232.28,36,814,2316,664,8578.89,30869.03,3382,441.85,6311.61,8549.91,4691.7,199,1062,1727,267.39,124,955,287,8543.53,4928.01,2157,299,53611.64,556,12684.1,7351.29,13482.64,2,4,210,3124.94,6724,399,18336.74,1125,7399.66,476,6191.02,303.74,11872.27
2,S2,7719.01,6787.01,60471.67,51876,197,6293.04,5730.17,109991.83,0,70,1176,420,7553.01,52990.79,2051.94,60.54,1791,7802.02,989,77,483,129,44.38,6,772,86,9466.77,4339.01,1304,260,47113.67,122.5,5009,1808,9428,3,5,485,5817,4062,213,17570.88,489,5154.18,709.46,3537,185.83,4922
3,S3,4719,6280.35,88851.02,73032.77,215,7290,9521.17,167749.71,1,64,2059,543,5391,93383,3012,132.96,721,8345.01,2556,104,594,701,48.25,22,936,143,35665.46,3711,2172,884,59029.8,365,22279,13457,6602,0,113.07,36,5819,5597.26,340,7674,731,6952.24,1262.29,4982.06,204.68,10776.04
4,S4,21946.04,5502.41,69292.03,46622.7,377,6523.05,12942,107661.67,6,117,1905,494,6445.79,42821.08,3459,75.41,2546,10556,2695.35,228,618,297,60.16,30,956,95,16510.36,4354,2001,242,110533.02,251,8532,6450.89,3106,0,0,136,5590.45,7520.52,303,10215,478,7122.98,1217.5,5108.77,237.56,11030.17
5,S5,4741,9465,66030.61,70795.62,168,7446,6483,195877.05,78,4047.18,2310,198,10915,85173.95,2443,701.47,29519.71,6825.96,5071.53,75,1524,622,386.36,164,1121,212,18956.83,2893,1608.16,257,41276.64,223,29584.69,5947,10449,3,621.45,158,4800,12008.01,325.88,22964.98,566,7052.87,1584.4,3935.89,208.02,8450.9
6,S6,7208.12,7028.52,78653.9,63778.31,338,5960,12248.85,145866.73,1,45,2308,1227,9735.06,56222.7,2871,287.86,7161.2,14170,2086,75,814,394,140.19,54,818,267,15732,5938.78,4588.07,303,31464.14,534,10390.93,9765,5355,1,1.05,295,6422.07,10979,316.04,16060.83,577,7026.69,1924.78,5632,195.04,15287.67
7,S7,18497.55,8063,75678.94,61125.59,305,7693.09,12741.31,196044.68,37,660,2611,2653,9566,42605.57,3661,122.15,3909.59,13123.77,2818,388,1124,1217,264.76,67,1016,162,10500.7,3474.83,2750,422,52713.82,178,10192,11129.95,5596,2,52.59,168,5691,12675,377,7172.43,508,7793.79,657.59,6474,364.26,13342.64
8,S8,5780,5499.05,77095.9,65723.19,263,8077.74,8583.65,123574.16,1,173,1768,269,5848.31,51156.15,3391,94.14,4079,8627.24,4646,471,1003.39,448,65.37,48,942,126,10429.93,3884,1757,681.65,31567.29,255,17739,3987.43,5856.98,0,502.72,66,7006.66,4396,259,9596.88,457,6850.93,955,5680,198.13,10495.99
9,S9,15322.88,13901.03,87913.76,108511.37,345,9714.43,11772,335062.69,8,1147,2638,488,12517.11,71876.99,3557,304.9,3577,12884,4297,276,870,869,144.65,226,1070,345,21360.66,4937.92,1625,585,87615.1,373,16773,5682,5608,3,798.47,227,6468,12908,386,25124.99,1428,8942.68,2314.01,6087,238.4,13194.99
10,S10,5273,8071,99831.52,112712.22,276,8359.95,10697,381105.89,1,31,1974,519,12212.38,110540.83,3362,196.12,2069.11,9558.68,433,122,440,351,78.08,39,905.98,210,36323.71,4599,4028,751,2292,357,47905.03,12131,15323,1,0,101,6627.66,5500,432,10560,119,8361.49,1684.31,7923.66,315.93,13115.98
