ID,Gene Symbol
16736628,CSRP3
16982921,LOC105374634
16951191,COLQ
16857068,NMRK2
16939718,KLHL40
16844294,NR1D1
16909775,
16909760,ASB18
16987076,
16883074,CNNM4
16823255,HCFC1R1
16679064,ACTN2
17103951,TSPYL2
16954730,TWF2
16752542,MYL6B
16757051,LINC01405
16812685,HOMER2
16947729,
16803469,DNAJA4
17078028,SLCO5A1
17088230,RGS3
16945821,TMEM108
16795390,LOC100506700
16728785,LOC105369382
17062955,LINC-PINT
16846543,
16765963,ANKRD52
16850609,MYL12A
16683493,MYOM3
16970132,MYOZ2
16691333,CASQ2
16961308,GOLIM4
16791898,CFL2
16817320,SBK1
16848318,ABCA5
16905528,PDE11A
16954988,TMEM110-MUSTN1; TMEM110; MUSTN1
16759920,
16869299,HOOK2
16877795,EFR3B
16660745,
17121832,
16913014,MYH7B
17058878,TMEM120A
16809645,MIR628
16919072,MROH8
17073565,CYC1
16899271,CCDC142
17112729,TIMM8A
16848264,ABCA10
16774235,SLC25A15; MIR621
16900124,IGKV1-12; IGKV1D-12
16702254,LOC102723721
16890675,IGFBP2
16937152,LINC00312; LMCD1
16681827,DHRS3
16801674,LOC102724790
16713187,NRP1
16790360,SNORD9
17118704,
16912965,TP53INP2
16888349,PPP1R1C
16891662,COL4A3
16682077,HSPB7
16886677,GPD2
16765998,
16861997,ZFP36
16736120,SOX6
16760668,LPCAT3
17012036,VGLL2
17069716,
16812168,
17001879,SLC36A2
16896019,LOC100505774
16928064,SLC2A11
17125182,
16906460,ORMDL1
16846687,CHAD
16943577,
16820398,SLC7A6
16852218,C18orf25
16929118,INPP5J
16691023,SLC16A1
16825638,YPEL3
16857913,HNRNPM
16748662,PLBD1-AS1
17109758,SMPX
16722075,
16707503,EXOC6
17083197,VLDLR
17069677,CSPP1
16702422,
17124692,
17093227,AQP7
16726311,VEGFB
16778584,ENOX1
17020532,
16678095,LOC102723834
16757427,TPCN1
16921525,
16854088,FAM210A
16794962,LOC102724153
17118048,LOC100133299
17001063,SPRY4
16949980,FBXO45
16918953,NDRG3
16733150,PATE4
16861318,WDR62
17092208,ERMP1
16723058,FIBIN
16770165,MYL2
16941042,LSMEM2
17124122,
16938630,GPD1L
16949537,TP63
16993385,C5orf60
17113418,AMOT
17076773,SLC20A2
16859942,SLC25A42
17021122,IBTK
16661031,EXTL1
16914213,DBNDD2; SYS1; SYS1-DBNDD2
16954641,PCBP4
17091502,PTGDS
17118732,
16671992,SLC25A44
16730308,ENDOD1
16963358,RNF168
17015771,MCUR1
16867334,PLIN5
16938154,OXNAD1
17125112,
16807905,ZNF106
16706286,SAMD8
17011708,SLC16A10
16858122,MRPL4
16929562,HMOX1
17085379,FAM27B
16737260,ABTB2
16989977,CYSTM1
16892918,LRRFIP1
16746878,TULP3
17121466,
16914277,
17012392,RSPO3
16800921,FGF7
17109754,KLHL34
16683739,PAFAH2
16923521,C21orf33
16824712,DNAH3
16674841,
16811249,UACA
16947734,
16758107,RNF34
17094240,LOC101928195
16687875,JUN
16996820,LOC101928819
16871467,HSPB6
16848079,WIPI1
16663014,ZMPSTE24
16981506,HMGB2
16679643,LOC101928139
16693323,CRNN
16717783,MGEA5
16823290,ZNF205-AS1
16775583,
16940161,CCR3
16987073,
16670499,PRPF3
16952990,PRSS45; PRSS43; PRSS50
16917849,THBD
17093463,CNTFR
16748669,
16891564,MOGAT1
16788566,
16829688,LOC105371592
16844200,MIEN1
16754783,METTL25
16860175,ZNF738
17121130,
16936648,CPT1B; CHKB; CHKB-CPT1B
16963241,TFRC
16997141,
16836351,AKAP1
16667530,PALMD
17010246,KCNQ5
16714269,TIMM23
17011340,QRSL1
16716795,SORBS1
16834395,TUBG2
16703834,
16938645,
16707631,PLCE1
17065552,LOC102724880
16901427,UXS1
16804251,ALPK3
16707882,
17120468,
16931339,PPARA
16697909,TNNI1
17094471,FAM27B; FAM27C
17123914,
16769945,FAM222A-AS1
17091746,MRPL41
16977520,COQ2
17050591,MET
16725210,MS4A7; MS4A14
16685777,
16735366,LMO1
16937137,LMCD1
16713877,GDF10
16777224,XPO4
16821083,TERF2IP
16708179,CUTC
16914901,
17114723,SPANXC; SPANXD
16949562,MIR944
16758130,ORAI1
16873168,ZNF285
16845713,GPATCH8
16833082,RHOT1
16920036,
